Wavelength	Optical power
1065.8	-53.45
1065.85	-53.05
1065.9	-53.25
1065.95	-52.13
1066	-52.14
1066.05	-51.6
1066.1	-52.37
1066.15	-52.32
1066.2	-53.05
1066.25	-52.49
1066.3	-52.23
1066.35	-51.27
1066.4	-51.65
1066.45	-51.27
1066.5	-52.36
1066.55	-52.32
1066.6	-52.56
1066.65	-51.97
1066.7	-51.58
1066.75	-51.01
1066.8	-51.33
1066.85	-51.34
1066.9	-52.13
1066.95	-52.13
1067	-52.1
1067.05	-51.28
1067.1	-51.15
1067.15	-50.7
1067.2	-51.16
1067.25	-51.6
1067.3	-52.11
1067.35	-51.67
1067.4	-51.51
1067.45	-50.78
1067.5	-50.62
1067.55	-50.58
1067.6	-51.15
1067.65	-51.5
1067.7	-51.75
1067.75	-51.16
1067.8	-50.76
1067.85	-50.1
1067.9	-50.41
1067.95	-50.55
1068	-51.35
1068.05	-51.61
1068.1	-51.39
1068.15	-50.69
1068.2	-50.4
1068.25	-50.23
1068.3	-50.43
1068.35	-50.75
1068.4	-51.44
1068.45	-51.44
1068.5	-50.9
1068.55	-50.18
1068.6	-49.86
1068.65	-49.85
1068.7	-50.39
1068.75	-50.99
1068.8	-51.15
1068.85	-50.65
1068.9	-50.13
1068.95	-49.69
1069	-49.63
1069.05	-49.8
1069.1	-50.48
1069.15	-50.99
1069.2	-50.73
1069.25	-50.02
1069.3	-49.59
1069.35	-49.37
1069.4	-49.53
1069.45	-49.99
1069.5	-50.52
1069.55	-50.43
1069.6	-49.76
1069.65	-49.24
1069.7	-48.93
1069.75	-49.27
1069.8	-49.47
1069.85	-50.03
1069.9	-49.97
1069.95	-49.52
1070	-48.76
1070.05	-48.52
1070.1	-48.48
1070.15	-48.99
1070.2	-49.4
1070.25	-49.8
1070.3	-49.28
1070.35	-48.61
1070.4	-48.04
1070.45	-48
1070.5	-48.36
1070.55	-49
1070.6	-49.46
1070.65	-49.34
1070.7	-48.53
1070.75	-47.86
1070.8	-47.46
1070.85	-47.65
1070.9	-48.09
1070.95	-48.89
1071	-49.37
1071.05	-49.02
1071.1	-48.54
1071.15	-48.05
1071.2	-47.78
1071.25	-48.11
1071.3	-48.75
1071.35	-49.4
1071.4	-49.47
1071.45	-49.04
1071.5	-48.42
1071.55	-48.15
1071.6	-48.46
1071.65	-48.93
1071.7	-49.62
1071.75	-49.76
1071.8	-49.25
1071.85	-48.61
1071.9	-48.48
1071.95	-48.51
1072	-49.01
1072.05	-49.59
1072.1	-49.79
1072.15	-49.22
1072.2	-48.34
1072.25	-47.82
1072.3	-47.92
1072.35	-48.37
1072.4	-49.16
1072.45	-49.63
1072.5	-49.36
1072.55	-48.46
1072.6	-47.71
1072.65	-47.34
1072.7	-47.52
1072.75	-47.87
1072.8	-49.02
1072.85	-49.46
1072.9	-49.04
1072.95	-48.01
1073	-47.52
1073.05	-47.15
1073.1	-47.51
1073.15	-48.24
1073.2	-49.26
1073.25	-49.36
1073.3	-48.99
1073.35	-48.08
1073.4	-48
1073.45	-47.95
1073.5	-48.63
1073.55	-49.12
1073.6	-49.44
1073.65	-48.62
1073.7	-48.27
1073.75	-47.79
1073.8	-47.64
1073.85	-48.2
1073.9	-48.83
1073.95	-48.93
1074	-48.05
1074.05	-47.15
1074.1	-46.66
1074.15	-46.42
1074.2	-46.81
1074.25	-47.78
1074.3	-48.5
1074.35	-48.66
1074.4	-47.81
1074.45	-46.9
1074.5	-46.29
1074.55	-46.09
1074.6	-46.28
1074.65	-47.39
1074.7	-48.14
1074.75	-48.58
1074.8	-47.95
1074.85	-47.63
1074.9	-47.05
1074.95	-47.45
1075	-47.95
1075.05	-48.59
1075.1	-48.23
1075.15	-48.02
1075.2	-47.05
1075.25	-47.12
1075.3	-47.26
1075.35	-47.84
1075.4	-48.24
1075.45	-48.47
1075.5	-47.24
1075.55	-46.56
1075.6	-45.7
1075.65	-46.11
1075.7	-46.28
1075.75	-47.54
1075.8	-48.22
1075.85	-48.75
1075.9	-47.83
1075.95	-47.3
1076	-46.68
1076.05	-46.86
1076.1	-47.34
1076.15	-48.51
1076.2	-49.33
1076.25	-49.45
1076.3	-48.68
1076.35	-48.34
1076.4	-48.1
1076.45	-48.69
1076.5	-49.17
1076.55	-49.97
1076.6	-49.21
1076.65	-48.14
1076.7	-47.43
1076.75	-47.4
1076.8	-47.72
1076.85	-48.65
1076.9	-49.43
1076.95	-49.61
1077	-48.53
1077.05	-47.74
1077.1	-47.04
1077.15	-47.03
1077.2	-47.47
1077.25	-48.4
1077.3	-49.38
1077.35	-49.8
1077.4	-49.18
1077.45	-48.45
1077.5	-48.28
1077.55	-48.43
1077.6	-49.2
1077.65	-49.97
1077.7	-50.23
1077.75	-49.5
1077.8	-48.81
1077.85	-48.29
1077.9	-48.46
1077.95	-48.81
1078	-49.57
1078.05	-49.47
1078.1	-48.63
1078.15	-47.28
1078.2	-46.58
1078.25	-46.37
1078.3	-46.74
1078.35	-47.37
1078.4	-48.54
1078.45	-49.36
1078.5	-49.25
1078.55	-48.61
1078.6	-48.34
1078.65	-48.15
1078.7	-48.51
1078.75	-49.04
1078.8	-49.95
1078.85	-49.83
1078.9	-49.34
1078.95	-48.95
1079	-48.95
1079.05	-49.36
1079.1	-49.89
1079.15	-50.09
1079.2	-49.46
1079.25	-48.24
1079.3	-47.31
1079.35	-47.07
1079.4	-47.26
1079.45	-47.83
1079.5	-48.82
1079.55	-49.42
1079.6	-49.24
1079.65	-48.33
1079.7	-47.34
1079.75	-46.96
1079.8	-47.03
1079.85	-47.78
1079.9	-49.01
1079.95	-50.1
1080	-50.04
1080.05	-49.29
1080.1	-48.51
1080.15	-48.35
1080.2	-48.74
1080.25	-49.63
1080.3	-50.68
1080.35	-51.09
1080.4	-50.81
1080.45	-50.49
1080.5	-50.05
1080.55	-50.33
1080.6	-50.75
1080.65	-51.35
1080.7	-51.34
1080.75	-50.84
1080.8	-49.89
1080.85	-49.93
1080.9	-49.99
1080.95	-50.65
1081	-51.39
1081.05	-51.6
1081.1	-50.57
1081.15	-49.37
1081.2	-48.8
1081.25	-48.89
1081.3	-49.21
1081.35	-50.11
1081.4	-51.05
1081.45	-51.1
1081.5	-50.27
1081.55	-48.89
1081.6	-48.12
1081.65	-47.9
1081.7	-48.5
1081.75	-49.33
1081.8	-50.76
1081.85	-50.98
1081.9	-50.34
1081.95	-49.1
1082	-48.67
1082.05	-48.76
1082.1	-49.61
1082.15	-50.76
1082.2	-51.82
1082.25	-51.68
1082.3	-51.18
1082.35	-50.41
1082.4	-50.51
1082.45	-50.83
1082.5	-51.73
1082.55	-51.62
1082.6	-51.13
1082.65	-49.79
1082.7	-49.09
1082.75	-48.57
1082.8	-48.93
1082.85	-49.65
1082.9	-50.61
1082.95	-50.9
1083	-50.38
1083.05	-49.15
1083.1	-48.42
1083.15	-48.01
1083.2	-48.33
1083.25	-49.32
1083.3	-50.64
1083.35	-51.68
1083.4	-51.52
1083.45	-50.85
1083.5	-50.28
1083.55	-49.98
1083.6	-50.3
1083.65	-50.9
1083.7	-52.04
1083.75	-52.35
1083.8	-52.38
1083.85	-51.67
1083.9	-51.33
1083.95	-51.28
1084	-51.67
1084.05	-52.17
1084.1	-52.75
1084.15	-52.78
1084.2	-52.11
1084.25	-51.98
1084.3	-52.21
1084.35	-52.59
1084.4	-53.19
1084.45	-52.99
1084.5	-52.01
1084.55	-50.97
1084.6	-50.36
1084.65	-50.57
1084.7	-51.04
1084.75	-52.33
1084.8	-53.03
1084.85	-52.99
1084.9	-51.85
1084.95	-50.77
1085	-50.1
1085.05	-50.15
1085.1	-50.87
1085.15	-51.96
1085.2	-52.79
1085.25	-53.09
1085.3	-52.35
1085.35	-51.56
1085.4	-50.87
1085.45	-51.18
1085.5	-51.53
1085.55	-52.73
1085.6	-53.88
1085.65	-54.19
1085.7	-53.68
1085.75	-53.18
1085.8	-53.17
1085.85	-53.3
1085.9	-53.63
1085.95	-54.19
1086	-54.12
1086.05	-53.61
1086.1	-53.33
1086.15	-53.28
1086.2	-53.7
1086.25	-54.2
1086.3	-54.66
1086.35	-54.58
1086.4	-53.57
1086.45	-52.33
1086.5	-51.86
1086.55	-51.71
1086.6	-52.35
1086.65	-53.32
1086.7	-54.05
1086.75	-53.97
1086.8	-52.97
1086.85	-51.8
1086.9	-51.4
1086.95	-51.54
1087	-52.45
1087.05	-53.69
1087.1	-54.25
1087.15	-53.71
1087.2	-52.66
1087.25	-51.52
1087.3	-51.06
1087.35	-51.34
1087.4	-52.06
1087.45	-53
1087.5	-53.72
1087.55	-54.05
1087.6	-53.02
1087.65	-51.99
1087.7	-51.56
1087.75	-51.77
1087.8	-52.27
1087.85	-53.68
1087.9	-54.49
1087.95	-54.93
1088	-54.5
1088.05	-53.48
1088.1	-53.01
1088.15	-53.06
1088.2	-53.83
1088.25	-54.88
1088.3	-55.27
1088.35	-55.55
1088.4	-55.12
1088.45	-54.77
1088.5	-54.33
1088.55	-54.22
1088.6	-54.91
1088.65	-55.55
1088.7	-55.82
1088.75	-55.51
1088.8	-55.28
1088.85	-55.33
1088.9	-55.32
1088.95	-55.47
1089	-55.67
1089.05	-55.97
1089.1	-55.66
1089.15	-55.52
1089.2	-55.27
1089.25	-55.53
1089.3	-55.85
1089.35	-56.34
1089.4	-56.2
1089.45	-55.5
1089.5	-54.74
1089.55	-54.1
1089.6	-54.03
1089.65	-54.76
1089.7	-55.68
1089.75	-56.11
1089.8	-56.05
1089.85	-54.82
1089.9	-54.09
1089.95	-53.54
1090	-53.76
1090.05	-54.59
1090.1	-55.23
1090.15	-56.02
1090.2	-55.67
1090.25	-54.55
1090.3	-53.55
1090.35	-53.25
1090.4	-53.26
1090.45	-54.17
1090.5	-55.36
1090.55	-56.02
1090.6	-56.26
1090.65	-55.38
1090.7	-54.21
1090.75	-53.88
1090.8	-53.86
1090.85	-54.41
1090.9	-55.65
1090.95	-56.41
1091	-56.39
1091.05	-55.62
1091.1	-54.85
1091.15	-54.36
1091.2	-54.51
1091.25	-55.03
1091.3	-56.22
1091.35	-57.33
1091.4	-57.04
1091.45	-56.72
1091.5	-56.33
1091.55	-55.89
1091.6	-55.99
1091.65	-56.44
1091.7	-57.53
1091.75	-57.96
1091.8	-57.63
1091.85	-57.57
1091.9	-57.48
1091.95	-57.43
1092	-57.52
1092.05	-57.41
1092.1	-57.69
1092.15	-57.34
1092.2	-57.43
1092.25	-57.06
1092.3	-57.84
1092.35	-58.09
1092.4	-58.33
1092.45	-58.18
1092.5	-57.5
1092.55	-57.02
1092.6	-57.01
1092.65	-57.08
1092.7	-58.06
1092.75	-58.35
1092.8	-58.4
1092.85	-58.05
1092.9	-57.2
1092.95	-56.56
1093	-56.47
1093.05	-56.82
1093.1	-57.54
1093.15	-58.43
1093.2	-59.04
1093.25	-58.47
1093.3	-57.64
1093.35	-56.67
1093.4	-56.39
1093.45	-56.54
1093.5	-57.1
1093.55	-58.27
1093.6	-58.75
1093.65	-58.69
1093.7	-57.55
1093.75	-56.58
1093.8	-56.29
1093.85	-56.48
1093.9	-56.8
1093.95	-57.48
1094	-58.32
1094.05	-58.72
1094.1	-58.24
1094.15	-57.37
1094.2	-56.75
1094.25	-56.68
1094.3	-56.68
1094.35	-58
1094.4	-58.87
1094.45	-58.82
1094.5	-59.42
1094.55	-58.67
1094.6	-57.63
1094.65	-57.59
1094.7	-57.77
1094.75	-58.62
1094.8	-59.77
1094.85	-59.77
1094.9	-60.5
1094.95	-59.3
1095	-59.41
1095.05	-59.81
1095.1	-59.9
1095.15	-59.59
1095.2	-59.95
1095.25	-59.72
1095.3	-59.06
1095.35	-59.26
1095.4	-59.39
1095.45	-60.5
1095.5	-61.04
1095.55	-60.31
1095.6	-59.3
1095.65	-58.42
1095.7	-58.08
1095.75	-58.09
1095.8	-59.16
1095.85	-59.23
1095.9	-60.21
1095.95	-60.33
1096	-58.69
1096.05	-58
1096.1	-57.52
1096.15	-57.28
1096.2	-58.2
1096.25	-59.55
1096.3	-59.91
1096.35	-59.87
1096.4	-59.22
1096.45	-58
1096.5	-57.77
1096.55	-57.89
1096.6	-58.37
1096.65	-59.33
1096.7	-60.47
1096.75	-59.52
1096.8	-59.2
1096.85	-58.5
1096.9	-58.47
1096.95	-58.38
1097	-58.66
1097.05	-60.01
1097.1	-60.42
1097.15	-60.25
1097.2	-59.92
1097.25	-58.73
1097.3	-58.75
1097.35	-58.98
1097.4	-58.79
1097.45	-60.62
1097.5	-60.72
1097.55	-61.07
1097.6	-61.67
1097.65	-60.8
1097.7	-59.48
1097.75	-59.91
1097.8	-60.5
1097.85	-60.79
1097.9	-61.43
1097.95	-61.71
1098	-61.69
1098.05	-62.7
1098.1	-61.32
1098.15	-62.01
1098.2	-62.73
1098.25	-61.64
1098.3	-61.96
1098.35	-61.21
1098.4	-61.12
1098.45	-61.44
1098.5	-62.3
1098.55	-62.47
1098.6	-62.16
1098.65	-61.7
1098.7	-61.46
1098.75	-60.24
1098.8	-59.69
1098.85	-59.97
1098.9	-60.09
1098.95	-60.54
1099	-62.34
1099.05	-61.59
1099.1	-61.49
1099.15	-61.32
1099.2	-60.33
1099.25	-59.65
1099.3	-59.83
1099.35	-61.05
1099.4	-60.49
1099.45	-61.65
1099.5	-62.05
1099.55	-63.04
1099.6	-61.79
1099.65	-61.32
1099.7	-61.45
1099.75	-62.4
1099.8	-62.02
1099.85	-62.53
1099.9	-63.1
1099.95	-62.24
1100	-63.27
1100.05	-62.41
1100.1	-63.07
1100.15	-61.83
1100.2	-63.12
1100.25	-62.08
1100.3	-62.73
1100.35	-62.07
1100.4	-62.25
1100.45	-61.65
1100.5	-61.83
1100.55	-63.35
1100.6	-61.99
1100.65	-62.5
1100.7	-63.85
1100.75	-64.51
1100.8	-62.93
1100.85	-63.67
1100.9	-63.35
1100.95	-62.43
1101	-63.24
1101.05	-63.29
1101.1	-62.47
1101.15	-62.81
1101.2	-62.46
1101.25	-63.03
1101.3	-64.26
1101.35	-63.79
1101.4	-62.74
1101.45	-62.67
1101.5	-61.87
1101.55	-61.72
1101.6	-61.98
1101.65	-63.4
1101.7	-62.18
1101.75	-63.6
1101.8	-63.06
1101.85	-61.83
1101.9	-62.4
1101.95	-61.54
1102	-61.88
1102.05	-62.28
1102.1	-62.43
1102.15	-64.1
1102.2	-64.43
1102.25	-62.61
1102.3	-61.93
1102.35	-62.39
1102.4	-61.61
1102.45	-62.08
1102.5	-62.72
1102.55	-63.09
1102.6	-63.75
1102.65	-64.41
1102.7	-63.63
1102.75	-62.57
1102.8	-62.45
1102.85	-62.46
1102.9	-65.01
1102.95	-64.31
1103	-65.3
1103.05	-63.01
1103.1	-65.17
1103.15	-64.04
1103.2	-63.22
1103.25	-62.54
1103.3	-63.58
1103.35	-63.44
1103.4	-64.77
1103.45	-63.72
1103.5	-63.75
1103.55	-62.6
1103.6	-63.12
1103.65	-63.99
1103.7	-64.24
1103.75	-63.79
1103.8	-64.49
1103.85	-66.12
1103.9	-64.16
1103.95	-64.27
1104	-65.44
1104.05	-63.93
1104.1	-64.12
1104.15	-65.48
1104.2	-64.93
1104.25	-64.19
1104.3	-63.5
1104.35	-64.13
1104.4	-64.86
1104.45	-63.87
1104.5	-63.19
1104.55	-64.65
1104.6	-64.92
1104.65	-64.09
1104.7	-65.52
1104.75	-66.22
1104.8	-64.18
1104.85	-64.91
1104.9	-64.51
1104.95	-65.3
1105	-64.79
